date,region,subregion,cases,deaths
2020-04-02,Centre,MAR,136,26
2020-04-02,Centre,TOS,406,15
2020-04-02,Centre,UMB,33,1
2020-04-02,Centre,LAZ,169,16
2020-04-02,South,ABR,61,10
2020-04-02,South,MOL,5,1
2020-04-02,South,CAM,225,19
2020-04-02,South,BAS,9,1
2020-04-02,South,PUG,131,15
2020-04-02,South,CAL,22,3
2020-04-02,Islands,SIC,73,5
2020-04-02,Islands,SAR,49,6
2020-04-03,North-West,VDA,51,7
2020-04-03,North-West,LIG,183,31
2020-04-03,North-West,PIE,543,60
2020-04-03,North-West,LOM,1455,351
2020-04-03,North-East,VEN,353,40
2020-04-03,North-East,TN,106,17
2020-04-03,North-East,BZ,80,10
2020-04-03,North-East,FVG,80,7
2020-04-03,North-East,EMR,599,91
2020-04-03,Centre,MAR,132,54
2020-04-03,Centre,TOS,226,22
2020-04-03,Centre,UMB,51,1
2020-04-03,Centre,LAZ,167,14
2020-04-03,South,ABR,66,13
2020-04-03,South,MOL,11,0
2020-04-03,South,CAM,221,14
2020-04-03,South,BAS,15,1
2020-04-03,South,PUG,105,20
2020-04-03,South,CAL,42,4
2020-04-03,Islands,SIC,68,8
2020-04-03,Islands,SAR,31,1
2020-04-04,North-West,VDA,29,12
2020-04-04,North-West,LIG,238,23
2020-04-04,North-West,PIE,813,85
2020-04-04,North-West,LOM,1598,345
2020-04-04,North-East,VEN,360,35
2020-04-04,North-East,TN,111,6
2020-04-04,North-East,BZ,33,7
2020-04-04,North-East,FVG,107,9
2020-04-04,North-East,EMR,608,75
2020-04-04,Centre,MAR,111,17
2020-04-04,Centre,TOS,172,17
2020-04-04,Centre,UMB,31,2
2020-04-04,Centre,LAZ,157,13
2020-04-04,South,ABR,65,7
2020-04-04,South,MOL,30,0
2020-04-04,South,CAM,151,5
2020-04-04,South,BAS,3,0
2020-04-04,South,PUG,58,9
2020-04-04,South,CAL,8,4
2020-04-04,Islands,SIC,73,10
2020-04-04,Islands,SAR,49,0
2020-04-05,North-West,VDA,34,9
2020-04-05,North-West,LIG,246,14
2020-04-05,North-West,PIE,653,40
2020-04-05,North-West,LOM,1337,249
2020-04-05,North-East,VEN,402,24
2020-04-05,North-East,TN,65,7
2020-04-05,North-East,BZ,52,12
2020-04-05,North-East,FVG,62,9
2020-04-05,North-East,EMR,549,74
